Name,Accounts,COMENTARIOS,Date,Direction,GANANCIA NETA,IMAGEN,P/L (1),PUNTOS,RR NEGATIVO,RRx,STOP
,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),RE ENTRADA,10 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/2AK6JaMA/,-1 %,86,No,,"43,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/m6JLo5Nl/,"0,7 %",286,Yes,,"143,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,9 de febrero de 2026,,,https://www.tradingview.com/x/w24bBdzk/,"0,7 %",115,Yes,,"57,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),ACABA SESION,6 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/CBSpiNMy/,"0,7 %",160,Yes,,"80,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/fktfBGSM/,"0,7 %",158,Yes,,"79,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/f6cr27qy/,"0,7 %",80,Yes,,"40,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,9 de febrero de 2026,,,https://www.tradingview.com/x/w24bBdzk/,"0,7 %",70,Yes,,"35,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/iMrpYXfp/,"0,7 %",87,Yes,,"43,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/yqNHfvS4/,"0,7 %",257,Yes,,"128,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/VWh40QxI/,"0,7 %",172,Yes,,"86,00 US$"
Trade Template,,,2 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/UFykMGcq/,"0,7 %",289,Yes,,"144,50 US$"
Trade Template,,,30 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/bALMtLhe/,"0,7 %",305,Yes,,"152,50 US$"
Trade Template,,,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/st9n17jf/,"0,7 %",377,Yes,,"188,50 US$"
Trade Template,,,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/7tRSHF4U/,"0,7 %",450,Yes,,"225,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/wldVxj32/,-1 %,267,No,,"133,50 US$"
Trade Template,,,26 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/cb4QEiuN/,"0,7 %",203,Yes,,"101,50 US$"
Trade Template,,,27 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/nPs2kxFZ/,"0,7 %",65,Yes,,"32,50 US$"
Trade Template,,,19 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/RsXhY00H/,"0,7 %",157,Yes,,"78,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),ENTRADA EN TRANSICION,10 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/5XZvQttW/,-1 %,127,No,,"63,50 US$"
Trade Template,,,29 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/XnCmNVkt/,"0,7 %",281,Yes,,"140,50 US$"
Trade Template,,,21 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/pcthKadS/,"0,7 %",184,Yes,,"92,00 US$"
,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,11 de febrero de 2026,,,,"0,7 %",245,Yes,,"122,50 US$"
Trade Template,,,28 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/zXQr5TvQ/,"0,7 %",205,Yes,,"102,50 US$"
Trade Template,,,26 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/pliIualR/,"0,7 %",95,Yes,,"47,50 US$"
Trade Template,,,22 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/Ky9qF7Jo/,-1 %,269,No,,"134,50 US$"
Trade Template,,,23 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/BGPpskb6/,"0,7 %",177,Yes,,"88,50 US$"
