Date,Result,Net P&L,Asset,Account,Direction,Contracts,Target Ticks,Stop Ticks,Strategy,Mental State,Notes
2025-12-02 12:00,TP,545.90,NQ,PERSONAL,Long,1,110,50,Order Flow,Calm,""
2025-12-02 12:00,TP,748.80,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-03 12:00,TP,248.80,MNQ,PERSONAL,Short,1,500,500,Order Flow,Calm,""
2025-12-04 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-04 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-05 12:00,TP,316.80,MNQ,PERSONAL,Short,1,636,0,Order Flow,Calm,""
2025-12-05 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-08 12:00,TP,698.80,MNQ,PERSONAL,Short,1,1400,500,Order Flow,Calm,""
2025-12-08 12:00,TP,558.80,MNQ,PERSONAL,Short,1,1120,500,Order Flow,Calm,""
2025-12-09 12:00,TP,198.80,MNQ,PERSONAL,Long,1,400,500,Order Flow,Calm,""
2025-12-09 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-10 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-11 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1000,500,Order Flow,Calm,""
2025-12-11 12:00,TP,248.80,MNQ,PERSONAL,Short,1,500,500,Order Flow,Calm,""
2025-12-11 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-12 12:00,TP,748.80,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-15 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-15 12:00,TP,748.80,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-16 12:00,SL,-251.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-16 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-16 12:00,SL,-251.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-16 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-17 12:00,SL,-251.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
